0,10,100,73,31,46,23
0,22,5,10,64,31,5
1,42,49,9,70,27,3
1,62,46,22,30,65,5
0,100,31,67,14,71,15
0,56,3,4,94,3,3
1,97,83,87,10,51,39
0,86,15,90,14,31,55
0,26,6,51,39,28,33
0,15,94,81,2,65,33
0,11,81,80,82,5,13
0,85,40,81,51,8,41
1,65,80,81,15,71,14
0,11,97,75,69,13,18
0,58,58,93,23,56,21
0,68,64,28,70,24,6
1,93,83,65,11,60,29
0,56,58,13,91,1,8
0,82,53,29,14,53,33
1,86,24,92,96,3,1
1,64,65,12,74,26,0
0,50,92,11,44,33,23
1,97,59,65,52,14,34
1,68,96,70,71,3,26
1,69,67,88,74,21,5
1,53,89,78,17,49,34
1,86,81,80,60,3,37
1,44,50,55,58,12,30
1,44,94,23,85,5,10
0,64,51,26,3,28,69
0,61,77,19,3,9,88
0,64,80,44,60,16,24
1,11,49,62,63,33,4
0,59,93,26,29,18,53
1,87,35,80,97,1,2
0,22,52,25,31,46,23
1,16,23,63,7,4,89
0,51,98,28,44,19,37
0,1,62,8,22,37,41
0,99,2,72,19,52,29
0,68,60,5,53,17,30
1,87,46,28,58,40,2
1,24,67,35,83,6,11
1,74,30,90,22,59,19
0,24,6,45,98,1,1
1,43,2,8,6,20,74
1,76,3,33,76,1,23
0,29,96,38,73,25,2
1,60,94,17,83,1,16
1,38,86,84,23,4,73
1,79,100,49,53,42,5
0,81,74,35,59,33,8
1,46,54,84,75,25,0
0,54,35,17,86,6,8
1,61,78,12,7,22,71
0,16,30,33,3,76,21
1,77,27,18,76,22,2
0,45,61,83,82,1,17
1,84,71,29,32,41,27
1,49,15,53,53,43,4
1,5,90,57,89,10,1
1,44,65,5,92,5,3
1,11,21,16,93,4,3
1,40,91,51,47,9,44
0,88,5,9,77,4,19
0,38,22,18,26,16,58
0,21,33,21,11,81,8
1,88,84,9,97,2,1
1,64,34,90,84,16,0
0,92,93,57,36,36,28
0,38,97,76,62,34,4
0,35,6,63,89,2,9
1,10,36,58,3,8,89
0,85,3,16,36,49,15
1,98,65,81,63,27,10
1,14,61,51,32,1,67
1,7,56,47,17,26,57
0,64,96,62,9,56,35
0,79,31,15,82,5,13
0,88,29,94,66,25,9
1,7,35,92,11,81,8
1,31,84,14,55,12,33
0,17,65,79,46,2,52
1,19,32,75,45,29,26
0,4,99,45,15,24,61
0,24,27,20,85,4,11
0,66,24,61,53,29,18
1,55,68,80,58,42,0
1,1,21,6,10,69,21
0,64,39,93,32,27,41
0,10,69,39,9,69,22
1,72,77,66,3,34,63
0,14,34,55,26,7,67
0,63,87,77,94,4,2
1,2,9,75,51,11,38
1,50,63,22,4,52,44
0,45,96,2,13,40,47
0,24,60,83,54,45,1
0,11,39,40,15,73,12
1,97,53,1,9,46,45
1,93,80,98,77,17,6
1,11,98,1,95,3,2
0,22,7,98,23,21,56
1,61,47,75,34,61,5
1,16,40,25,1,71,28
1,5,9,67,20,76,4
1,32,14,88,37,15,48
1,5,89,53,45,17,38
1,62,57,100,27,21,52
1,68,67,43,65,9,26
1,9,43,76,67,32,1
0,14,96,97,9,2,89
1,94,28,96,63,28,9
1,58,43,25,7,18,75
1,55,6,19,66,3,31
0,30,36,31,17,9,74
0,46,6,9,76,24,0
1,13,1,86,90,7,3
0,54,5,12,45,30,25
0,16,20,80,59,30,11
1,2,82,60,68,24,8
1,30,26,23,44,26,30
1,52,9,8,53,14,33
1,9,84,76,64,6,30
0,12,80,18,77,7,16
1,4,99,41,92,8,0
1,36,64,93,87,13,0
0,87,52,22,82,6,12
1,34,99,10,3,2,95
1,36,59,32,88,5,7
0,9,99,66,69,9,22
1,8,56,13,8,16,76
1,37,29,89,65,31,4
0,21,36,86,33,41,26
1,87,59,98,75,20,5
1,33,93,66,90,3,7
0,35,96,38,67,23,10
0,59,65,59,84,13,3
0,2,42,14,52,25,23
0,33,27,71,44,36,20
0,82,57,98,98,1,1
0,30,19,9,82,10,8
1,96,86,3,4,58,38
1,22,75,4,11,7,82
1,34,72,95,59,25,16
1,27,75,20,77,22,1
0,37,94,90,97,2,1
1,32,9,71,41,19,40
1,97,1,99,93,1,6
1,28,40,69,6,48,46
1,83,18,81,76,14,10
0,43,49,47,77,9,14
0,15,91,36,36,17,47
1,45,78,73,52,38,10
0,18,77,51,85,5,10
1,5,40,82,44,52,4
0,17,66,72,37,33,30
0,3,96,77,77,15,8
1,3,95,13,9,61,30
1,58,98,29,22,35,43
1,56,72,52,24,9,67
1,70,88,61,54,3,43
1,16,11,73,93,5,2
1,93,39,37,60,4,36
1,46,66,47,38,16,46
0,21,15,59,37,44,19
1,48,76,53,51,3,46
1,91,65,78,68,25,7
1,65,74,46,77,17,6
0,76,50,47,86,9,5
0,8,58,31,86,1,13
1,68,30,62,18,61,21
0,50,16,23,23,41,36
1,79,5,32,48,22,30
1,51,60,32,42,45,13
0,80,68,20,67,23,10
0,86,19,64,37,52,11
1,30,4,87,25,15,60
1,56,50,59,43,34,23
0,57,19,51,55,42,3
0,64,59,92,25,6,69
0,57,7,5,77,1,22
0,92,5,1,36,61,3
1,69,32,19,6,1,93
1,32,79,75,81,10,9
1,99,36,27,65,2,33
1,61,73,97,32,42,26
0,50,25,1,28,56,16
1,35,79,84,86,14,0
0,13,22,17,95,1,4
1,71,24,31,49,51,0
1,23,58,9,71,18,11
1,30,61,64,73,18,9
1,10,30,50,63,29,8
1,14,54,91,12,46,42
1,76,100,90,26,45,29
1,87,86,38,41,7,52
0,91,60,45,16,17,67
0,37,59,17,22,62,16
1,88,30,6,7,71,22
1,21,100,79,63,22,15
0,67,60,76,30,50,20
1,31,53,93,2,32,66
0,29,74,100,22,50,28
0,58,83,70,39,24,37
0,58,28,34,94,2,4
1,2,13,51,55,10,35
1,4,23,68,54,10,36
0,26,6,32,86,5,9
0,75,42,31,9,74,17
0,87,12,10,59,16,25
1,51,22,72,90,7,3
0,7,73,78,98,1,1
1,8,21,76,39,21,40
0,74,64,23,91,8,1
1,5,27,79,79,3,18
1,93,27,100,24,73,3
0,59,87,86,16,62,22
1,20,11,28,46,23,31
0,95,76,32,55,25,20
1,54,55,78,93,1,6
0,33,6,42,76,19,5
0,26,93,27,17,9,74
0,90,71,10,6,85,9
0,60,25,99,64,21,15
0,57,21,96,39,51,10
0,41,24,59,64,18,18
0,98,82,94,93,6,1
1,76,9,48,1,58,41
1,27,10,86,94,4,2
1,70,62,68,16,51,33
0,63,8,90,11,19,70
0,100,77,55,26,68,6
0,60,44,68,69,22,9
0,66,71,42,96,3,1
0,20,19,75,8,52,40
1,86,17,87,72,1,27
0,91,76,89,11,60,29
1,62,77,96,33,47,20
0,30,34,53,38,1,61
